PROPERTY TYPE,ADDRESS,CITY,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,HOA/MONTH,MLS#,LATITUDE,LONGITUDE
Single Family Residential,14692 Denmark Ct,Apple Valley,55124,385000,5,3,Apple Valley,2672,13068.0,1977,5,0.0,6158296,44.7375948,-93.1567505
Townhouse,4870 Bivens Ct #8701,Inver Grove Heights,55076,260000,3,3,Inver Grove Heights,1776,26264.151515151516,2004,5,336.0,6157796,44.8783889,-93.0544395
Single Family Residential,17985 Equinox Ave,Lakeville,55044,490000,3,3,Lakeville,1968,8276.0,2018,5,0.0,6154349,44.688996,-93.173475
Townhouse,13252 Huntington Ter,Apple Valley,55124,449000,3,3,Apple Valley,2212,3789.0,1998,5,358.0,6154385,44.7565384,-93.2409609
Single Family Residential,958 Humboldt Ave,West Saint Paul,55118,279000,4,2,West Saint Paul,1928,6969.0,1900,5,0.0,6162109,44.9172587,-93.0848008
Single Family Residential,19741 Henley Ln,Lakeville,55044,699900,5,4,Berres Ridge 5th,3516,12980.0,2021,5,0.0,6162412,44.662117,-93.2296832
Single Family Residential,976 Kay Ave,Mendota Heights,55118,440000,3,2,Mendota Heights,2488,16117.0,1958,5,0.0,6154784,44.8849669,-93.1389735
Single Family Residential,126 2nd Ave S,South Saint Paul,55075,299900,3,2,South Saint Paul,1494,5009.0,1916,5,0.0,6162287,44.8897786,-93.0363203
Single Family Residential,19672 Hibbing Way,Lakeville,55044,760000,4,3,Lakeville,3496,12850.0,2017,5,0.0,6162327,44.6654285,-93.2331851
Single Family Residential,18167 Green Gables Trl,Lakeville,55044,559977,4,3,Lakeville,2744,8712.0,2019,6,64.0,6162301,44.6860951,-93.226137
Single Family Residential,14300 Alder Way,Rosemount,55068,611576,5,4,Emerald Isle,3483,12632.0,2022,6,0.0,6162298,44.743566,-93.07728685
Single Family Residential,702 Greten Ln,Hastings,55033,439900,5,3,Hastings,2722,10018.0,2002,6,9.0,6155375,44.7129291,-92.8609445
Single Family Residential,14301 Alder Way,Rosemount,55068,626247,5,4,Emerald Isle,3317,12632.0,2022,6,0.0,6162272,44.74336787,-93.07812369
Single Family Residential,14360 Aspen Ave,Rosemount,55068,606572,5,4,Emerald Isle,3317,9147.0,2022,6,0.0,6157671,44.74222481,-93.07932532
Single Family Residential,18048 Gleaming Ct,Lakeville,55044,570000,4,3,Lakeville,2283,8712.0,2018,6,58.0,6162257,44.6883192,-93.2193646
Townhouse,18602 Jonesboro Ct,Lakeville,55044,374900,3,3,Lakeville,2009,1916.0,2020,6,245.0,6160801,44.680048,-93.2785419
Single Family Residential,18129 Icon Ct,Lakeville,55044,724900,5,4,Lakeville,3867,9104.0,2018,6,0.0,6158370,44.6869475,-93.2497592
Single Family Residential,1065 Keefe St,Eagan,55121,349900,4,2,Eagan,1490,10105.0,1957,6,0.0,6157048,44.8516601,-93.1450487
Single Family Residential,17989 Fullerton Ct,Lakeville,55044,614900,5,4,Lakeville,3982,15681.0,2004,6,0.0,6162041,44.688683,-93.197922
Single Family Residential,825 9th Ave S,South Saint Paul,55075,195000,2,1,South Saint Paul,890,5009.0,1945,6,0.0,6162020,44.8772953,-93.0447295
Single Family Residential,12138 Gantry Ln,Apple Valley,55124,500000,4,4,Apple Valley,3473,20473.0,1990,6,0.0,6158008,44.7726588,-93.210827
Single Family Residential,1793 86th Ct E,Inver Grove Heights,55077,1495000,5,5,Inver Grove Heights,5358,63162.0,2013,6,0.0,6161199,44.825521,-93.0693006
Townhouse,15880 Griffon Path,Apple Valley,55124,240000,2,3,Apple Valley,1570,7274.0,1990,6,244.0,6161838,44.718493,-93.223635
Townhouse,15510 Float Ln #140,Apple Valley,55124,245000,3,1,Apple Valley,1228,26264.151515151516,2001,6,215.0,6161892,44.7245286,-93.1989235
Single Family Residential,14261 Aspen Ave,Rosemount,55068,661400,5,4,Rosemount,3296,9147.0,2022,6,0.0,6161762,44.74328895,-93.0796051
Single Family Residential,1361 143rd St,Rosemount,55068,551900,3,3,Rosemount,2016,9147.0,2022,6,0.0,6161769,44.7439329,-93.0756567
Single Family Residential,3428 70th Ct E,Inver Grove Heights,55076,290000,3,1,Inver Grove Heights,1323,12066.0,1961,7,0.0,6161148,44.8473282,-93.0363594
Single Family Residential,2205 Horizon Pl,Burnsville,55337,395000,3,4,Burnsville,2601,11456.0,1988,7,0.0,6148240,44.7859707,-93.2451242
Single Family Residential,1457 143rd St,Rosemount,55068,662600,4,3,Emerald Isle,2536,10454.0,2022,7,0.0,6161667,44.7431657,-93.0818536
Single Family Residential,13600 Carrakay Way,Rosemount,55068,493805,3,4,Ardan Place,2242,9147.0,2022,7,0.0,6161602,44.7618419,-93.0888872
Single Family Residential,1313 143rd St,Rosemount,55068,602300,4,3,Rosemount,2552,9147.0,2022,7,0.0,6161556,44.74471564,-93.08172251
Single Family Residential,23680 Main St,Hampton,55031,325000,4,3,Hampton,1976,13068.0,1987,7,0.0,6160907,44.6065504,-92.9974421
Single Family Residential,517 8th St W,Hastings,55033,199900,3,1,Hastings,1457,9931.0,1875,7,0.0,6156752,44.7381083,-92.8585287
Townhouse,4773 Blaine Ave,Inver Grove Heights,55076,250000,2,2,Inver Grove Heights,1590,26264.151515151516,2003,7,300.0,6160983,44.879254,-93.0587503
Single Family Residential,19969 Harrisburg Way,Lakeville,55044,730995,4,3,Lakeville,2755,11674.0,2022,7,0.0,6159653,44.66029356,-93.22919211
Townhouse,15963 Hyland Dr,Apple Valley,55124,349900,3,3,Apple Valley,2242,2613.0,1997,7,220.0,6161320,44.718154,-93.244484
Single Family Residential,18172 Glanshaw Ave,Lakeville,55044,535000,4,3,Lakeville,2420,9191.0,2018,7,56.0,6153054,44.6859778,-93.214026
Single Family Residential,2308 E 123rd St,Burnsville,55337,390000,4,2,Burnsville,2192,11456.0,1977,7,0.0,6161058,44.7803747,-93.2432585
Single Family Residential,603 Quie Ln,Northfield,55057,474900,3,3,Northfield,2415,16988.0,1996,7,0.0,6160921,44.4751491,-93.1686119
Single Family Residential,685 Shelerud Dr,Eagan,55123,595000,6,3,Eagan,3362,12066.0,2004,8,0.0,6141160,44.7887355,-93.1193617
Condo/Co-op,1700 Four Oaks Rd #329,Eagan,55121,149900,1,1,Eagan,780,26264.151515151516,1979,8,242.0,6161089,44.8425826,-93.1834968
Single Family Residential,1902 Ridge Ln,Hastings,55033,357000,4,2,Hastings,1950,10759.0,1976,8,0.0,6161070,44.7261327,-92.8667313
Single Family Residential,4785 Beacon Hill Rd,Eagan,55122,475000,4,2,Eagan,2368,15812.0,1981,8,0.0,6161043,44.7838551,-93.1778286
Single Family Residential,19365 Crocus Pl,Farmington,55024,417990,3,3,North Creek,2033,8276.0,2022,8,36.0,6161014,44.67297,-93.140858
Single Family Residential,19270 Euclid Path,Farmington,55024,350000,4,2,Farmington,1884,11761.0,1988,8,0.0,6160828,44.6699819,-93.1785739
Single Family Residential,13620 Carrakay Way,Rosemount,55068,481805,4,2,Ardan Place,1988,9147.0,2022,8,0.0,6157901,44.75186336,-93.0917644
Townhouse,8744 Bechtel Ave #109,Inver Grove Heights,55076,214900,2,2,Inver Grove Heights,1260,26264.151515151516,1996,8,289.0,6160849,44.82286,-93.043502
Single Family Residential,18605 Harcourt Path,Lakeville,55044,484515,4,4,The Grove at Avonlea,1870,8712.0,2022,8,64.0,6160572,44.6792578,-93.229234
Single Family Residential,3671 250th St W,Farmington,55024,1600000,5,4,Farmington,4530,871200.0,1970,8,0.0,6160637,44.5876159,-93.1402277
Single Family Residential,6755 Blaine Ave,Inver Grove Heights,55076,370000,4,2,Inver Grove Heights,1792,35283.0,1963,8,0.0,6155868,44.8514045,-93.0553898
Townhouse,5469 Bryce Ave,Inver Grove Heights,55076,245000,3,2,Inver Grove Heights,1495,2003.0,2004,8,219.0,6158976,44.867996,-93.0472
Townhouse,15868 Freedom Ln,Apple Valley,55124,339900,3,3,Apple Valley,1686,1437.0,2004,8,254.0,6160652,44.718917,-93.206071
Single Family Residential,18080 Gleaming Path,Lakeville,55044,505135,4,3,The Grove at Avonlea,2328,8712.0,2022,9,64.0,6160571,44.6879396,-93.2198357
Townhouse,16150 Eagleview Dr,Lakeville,55044,534100,2,3,Spirit of Brandtjen Farm,2045,1306.0,2022,9,492.0,6160562,44.715218,-93.1677196
Townhouse,20117 Geneva Trl,Lakeville,55044,541720,3,2,Cedar Hills,1930,4791.0,2021,9,130.0,6160536,44.6589,-93.2157
Single Family Residential,206 Stanley St,West Saint Paul,55118,249999,3,2,West Saint Paul,1043,9975.0,1936,9,0.0,6140869,44.9131034,-93.0766195
Single Family Residential,5590 Upper 179th St W,Lakeville,55044,579200,4,3,Knob Hill,2552,8407.0,2022,10,0.0,6160456,44.68884814,-93.17836786
Single Family Residential,20360 Gateway Dr W,Lakeville,55044,598795,4,3,Cedar Hills,2355,10018.0,2021,10,50.0,6160474,44.6589,-93.2157
Single Family Residential,17865 Evershed Way,Lakeville,55044,699400,5,4,Knob Hill,3310,8712.0,2022,10,0.0,6158869,44.6913659,-93.1850277
Single Family Residential,17971 Hawksbill Dr,Lakeville,55044,642900,5,4,Summer's Creek,3296,11325.0,2022,10,0.0,6160463,44.6897823,-93.2300103
Single Family Residential,17948 Eclipse Ave,Lakeville,55044,609100,5,4,Lakeville,3296,9278.0,2022,10,0.0,6159739,44.689031,-93.1692304
Single Family Residential,17967 Hawksbill Dr,Lakeville,55044,624999,5,4,Summer's Creek,2910,9626.0,2022,10,0.0,6160446,44.6899692,-93.2299754
Single Family Residential,7388 204th St W,Lakeville,55044,559970,4,3,Cedar Hills,2271,11325.0,2021,10,50.0,6160401,44.6589,-93.2157
Single Family Residential,13645 Danube Ln,Rosemount,55068,652000,6,4,Rosemount,3370,14984.0,1991,11,5.0,6160301,44.7514348,-93.1511834
Single Family Residential,8212 198th St W,Lakeville,55044,769900,5,4,Berres Ridge,3999,13068.0,2022,11,0.0,6160238,44.6633652,-93.232005
Single Family Residential,241 Pinewood Dr,Apple Valley,55124,299900,3,2,Apple Valley,2024,14374.0,1965,11,0.0,6160160,44.7378747,-93.2403914
Single Family Residential,12570 Arklow Ave,Rosemount,55068,734735,4,4,Meadow Ridge,3194,10454.0,2022,11,13.0,6160169,44.7639052,-93.0865178
Single Family Residential,14194 Garland Ave,Apple Valley,55124,400000,4,2,Apple Valley,1903,15071.0,1969,11,0.0,6159975,44.7439497,-93.2098653
Single Family Residential,17901 Hayes Ave,Lakeville,55044,674900,4,3,Summer's Creek,2688,15115.0,2022,11,0.0,6159974,44.691262,-93.2324162
Single Family Residential,13678 Applewood Trl,Rosemount,55068,488830,3,2,Caramore Crossing,1485,11325.0,2022,11,165.0,6159650,44.75510462,-93.08662589
Townhouse,16418 Elm Creek Ln #4027,Lakeville,55044,295000,3,3,Lakeville,1420,26264.151515151516,2007,11,250.0,6159425,44.712671,-93.177891
Single Family Residential,5525 Annette Ave,Inver Grove Heights,55077,410000,4,3,Inver Grove Heights,2252,11325.0,1973,12,0.0,6159631,44.8688205,-93.0757388
Single Family Residential,8630 Crismon Way,Inver Grove Heights,55076,850000,5,5,Inver Grove Heights,4393,20691.0,2013,12,0.0,6120673,44.8253502,-93.0221649
Townhouse,13868 Kaylemore Trl,Rosemount,55068,382250,3,3,Ardan Place,1894,1690.0,2022,12,235.0,6159634,44.75237217,-93.09053522
Single Family Residential,16396 Duluth Trl,Lakeville,55044,1096215,5,5,Spirit of Brandtjen Farm,5341,12196.0,2022,12,95.0,6159566,44.7111394,-93.1602704
Condo/Co-op,14575 Burma Ave W #105,Rosemount,55068,215000,2,2,Rosemount,1270,26264.151515151516,1988,12,351.0,6159508,44.7383641,-93.124975
Townhouse,13852 Kaylemore Trl,Rosemount,55068,397750,3,3,Ardan Place,1894,2178.0,2022,12,235.0,6159581,44.75237217,-93.09053522
Single Family Residential,22996 Nicolai Ave,Hastings,55033,662000,3,4,Hastings,2427,68040.0,1959,12,0.0,6159548,44.6155061,-92.8122624
Single Family Residential,2082 Emerald Ln,Eagan,55122,346000,3,1,Eagan,1218,9147.0,1959,12,0.0,6159487,44.8080271,-93.2128288
Single Family Residential,20045 Rhoda Ave,Welch,55089,750000,3,3,Welch,2539,645559.0,1986,12,0.0,6158191,44.658677,-92.740701
Single Family Residential,113 Shoshoni Trl,Apple Valley,55124,427000,4,2,Apple Valley,2145,17424.0,1970,12,0.0,6159300,44.7655697,-93.2339901
Single Family Residential,12800 Country View Ln,Burnsville,55337,435000,5,3,Burnsville,1938,12675.0,1975,12,0.0,6159250,44.7716159,-93.2510162
Single Family Residential,269 Edgewood Ln,West Saint Paul,55118,1685000,4,5,West Saint Paul,5412,24480.0,2018,13,0.0,6112742,44.8880648,-93.0967312
Single Family Residential,17918 Eclipse Ave,Lakeville,55044,556050,4,3,Pheasant Run,2160,8407.0,2022,13,0.0,6159049,44.689031,-93.1692304
Single Family Residential,5805 178th St W,Lakeville,55044,533000,4,3,Knob Hill,2186,8712.0,2022,13,0.0,6158968,44.69189183,-93.18303668
Single Family Residential,5745 Upper 179th St W,Lakeville,55044,616900,4,3,Knob Hill,2688,10193.0,2022,13,0.0,6158991,44.6896681,-93.18350698
Single Family Residential,689 Mcfaddens Trl,Eagan,55123,649500,5,4,Eagan,3470,14549.0,2002,13,0.0,6157696,44.7862585,-93.1196947
Single Family Residential,16836 Jonquil Trl,Lakeville,55044,430000,3,2,Lakeville,2433,8668.0,1987,14,0.0,6158679,44.7033792,-93.2798582
Single Family Residential,18528 Hexham Ln,Lakeville,55044,569000,4,3,Lakeville,2202,12632.0,2022,14,0.0,6158548,44.6617724,-93.2341122
Single Family Residential,13541 Carrakay Way,Rosemount,55068,469295,3,2,Oneka Place,1866,13503.0,2022,14,0.0,6158004,44.75293459,-93.09117781
Single Family Residential,5748 178th St W,Lakeville,55024,576793,5,3,Knob Hill,2735,12632.0,2022,14,0.0,6158386,44.6912872,-93.1881513
Townhouse,7629 Carla Path,Inver Grove Heights,55076,387660,3,3,South Grove,1932,1320.0,2022,14,208.0,6158027,44.838845,-93.034345
Townhouse,7625 Carla Path,Inver Grove Heights,55076,397335,3,3,South Grove,2082,1320.0,2021,14,208.0,6158274,44.838845,-93.034345
Single Family Residential,14221 Aspen Ave,Rosemount,55068,655832,4,4,Emerald Isle,3085,9365.0,2021,14,0.0,6158176,44.74390722,-93.07984752
Single Family Residential,7698 204th St W,Lakeville,55044,715414,5,4,Aspen Grove,3777,8712.0,2021,14,0.0,6158175,44.6525927,-93.2240593
Condo/Co-op,2103 Silver Bell Rd #216,Eagan,55122,220000,1,2,Eagan,1065,26264.151515151516,2005,15,341.0,6158005,44.8214987,-93.2125736
Single Family Residential,17858 Hamburg Ave,Lakeville,55044,504000,2,2,Lakeville,1634,4356.0,2022,15,160.0,6157827,44.691936,-93.2254415
Single Family Residential,6715 290th St W,Northfield,55057,875000,5,4,Northfield,4910,217800.0,2000,15,0.0,6157557,44.530011,-93.202395
Townhouse,18114 Garland Path,Lakeville,55044,440010,3,3,Lakeville,2069,3049.0,2022,16,185.0,6157437,44.68791549,-93.20758961
Single Family Residential,5903 178th St,Lakeville,55044,572700,3,3,Lakeville,2785,9147.0,2022,17,0.0,6157372,44.69183756,-93.18716225
Townhouse,4646 Blaylock Way #3502,Inver Grove Heights,55076,314900,4,3,Inver Grove Heights,1874,26264.151515151516,2004,19,309.0,6149828,44.881936,-93.058195
Single Family Residential,1017 3rd St W,Hastings,55033,299900,4,2,Hastings,1856,9583.0,1961,19,0.0,6155407,44.7430583,-92.8706285
Condo/Co-op,12848 Nicollet Ave #102,Burnsville,55337,94900,1,1,Burnsville,650,26264.151515151516,1970,19,328.0,6156684,44.7690896,-93.280206
Single Family Residential,13299 Bronze Pkwy,Rosemount,55068,490000,4,3,Rosemount,2854,9147.0,2010,19,45.0,6156558,44.7553476,-93.1225547
Single Family Residential,1064 Humboldt Ave,West Saint Paul,55118,369900,5,2,West Saint Paul,2300,8712.0,1873,19,0.0,6156424,44.9142501,-93.0848204
Townhouse,695 E Burnsville Pkwy #19,Burnsville,55337,235000,3,2,Burnsville,1004,26264.151515151516,1978,19,304.0,6156465,44.775524,-93.2653684
Townhouse,20870 Goodhue Way,Lakeville,55044,475000,3,3,Lakeville,2356,4748.0,2016,19,185.0,6153098,44.6472356,-93.2204639
Single Family Residential,13633 Washburn Ave S,Burnsville,55337,357000,3,2,Burnsville,1093,16552.0,1963,19,0.0,6156431,44.7548427,-93.3161312
Townhouse,14560 Twin Lakes Cir,Burnsville,55306,415000,3,3,The Reserve at Twin Lakes,1877,1650.0,2022,19,220.0,6156432,44.7379058,-93.2811319
Townhouse,14564 Twin Lakes Cir,Burnsville,55306,440000,3,3,The Reserve at Twin Lakes,1831,2068.0,2022,19,220.0,6156428,44.737843,-93.2811451
Townhouse,14572 Twin Lakes Cir,Burnsville,55306,415000,3,3,The Reserve at Twin Lakes,1877,1650.0,2022,19,220.0,6156426,44.7378862,-93.2806719
Townhouse,14576 Twin Lakes Cir,Burnsville,55306,440000,3,3,The Reserve at Twin Lakes,1831,2068.0,2022,19,220.0,6156420,44.7378822,-93.28058
Single Family Residential,16529 Joplin Path,Lakeville,55044,425000,4,2,Lakeville,1760,8581.0,1989,19,0.0,6156419,44.7093269,-93.2786987
Townhouse,14592 Twin Lakes Cir,Burnsville,55306,445000,3,3,The Reserve at Twin Lakes,1831,2068.0,2022,19,220.0,6156417,44.7378715,-93.2802023
Townhouse,1205 Hawthorne Ct,Northfield,55057,235000,3,2,Northfield,1403,1742.0,2000,19,237.0,6154177,44.472257,-93.179819
Townhouse,14600 Twin Lakes Cir,Burnsville,55306,410000,3,3,The Reserve at Twin Lakes,1877,1650.0,2021,19,220.0,6156414,44.7378642,-93.2800024
Townhouse,18353 Gladden Ln,Lakeville,55044,440000,3,3,Lakeville,1800,1785.0,2019,19,197.0,6156391,44.6830657,-93.2195125
